time,mem_used,mem_avail
2023-05-01 20:46:39.568733,27099604,4080920
2023-05-01 20:47:09.599316,27261736,3919736
2023-05-01 20:47:39.630331,26854100,4325036
2023-05-01 20:48:09.660831,26912248,4274348
2023-05-01 20:48:39.688474,27514912,3674120
2023-05-01 20:49:09.716336,26915564,4272864
2023-05-01 20:49:39.744639,26989560,4201620
2023-05-01 20:50:09.776191,26997064,4193036
2023-05-01 20:50:39.804462,27543264,3591588
2023-05-01 20:51:09.832291,27210884,3948600
2023-05-01 20:51:39.861928,27365160,3817384
2023-05-01 20:52:09.895778,27956736,2982344
2023-05-01 20:52:39.927342,27425612,3616044
2023-05-01 20:53:09.956881,27962048,3164384
2023-05-01 20:53:39.988220,27516932,3607212
2023-05-01 20:54:10.019209,28077108,3070144
2023-05-01 20:54:40.080415,27668968,3354296
2023-05-01 20:55:10.110216,27667980,3355392
2023-05-01 20:55:40.141594,27679240,3484380
